hash,elapsed_time,age,evaluation_status,evaluation_year,evaluation_start_time,tree,error_string,pickle,"FullDataSet False Positives","FullDataSet False Negatives",id,optimization,generation,hash
0a89a8ae0187294a20d138af134e45fa6345272ee28dc2c4653b5cf6137046ff,78.44,1,EVALUATED,18,"2021-03-22 11:29:16","BaggedLearner(ARG0, ModifyLearnerInt(learnerType('RandForest', {'n_estimators': 100, 'class_weight': 0, 'criterion': 0}), 64, 0))",NULL,...,0.12392,0.267827,166,0,22,0a89a8ae0187294a20d138af134e45fa6345272ee28dc2c4653b5cf6137046ff
0ac02dceae01f55c8e62c1331cd191016838ab8714afcd6f9b77aeb6dd87242f,102.346,1,EVALUATED,18,"2021-03-22 14:27:38","BaggedLearner(ARG0, ModifyLearnerFloat(ModifyLearnerBool(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), ifThenElseBool(falseBool, trueBool, falseBool)), 100.0))",NULL,...,0.912792,0.0876389,167,0,22,0ac02dceae01f55c8e62c1331cd191016838ab8714afcd6f9b77aeb6dd87242f
16a66946a0474d3efaa90caad88e4df49489b49043292d4c03caf4d53a9ee912,91.9109,1,EVALUATED,13,"2021-03-22 10:36:20","AdaBoostLearner(ARG0, ModifyLearnerFloat(ModifyLearnerBool(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), trueBool), 100.0), 64, myFloatDiv(100.0, myFloatMult(10.0, 100.0)))",NULL,...,0.994855,0.0115033,168,0,22,16a66946a0474d3efaa90caad88e4df49489b49043292d4c03caf4d53a9ee912
240dc006640086a450345851ff007ee35ec326aa72e0f4a7b78696c7b73744d7,62.481,1,EVALUATED,16,"2021-03-22 10:10:46","AdaBoostLearner(ARG0, ModifyLearnerList(learnerType('Trees', {'criterion': 0, 'splitter': 0}), [1, -1]), passInt(passTriState(passTriState(1))), 0.01)",NULL,...,0.145428,0.258333,169,0,22,240dc006640086a450345851ff007ee35ec326aa72e0f4a7b78696c7b73744d7
267cdf0b2c250bfd4ffef8a7016b9aeac110b14e0817114ef939589c4bd81506,100.559,1,EVALUATED,17,"2021-03-22 12:48:26","BaggedLearner(ARG0, ModifyLearnerFloat(ModifyLearnerBool(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), ifThenElseBool(falseBool, trueBool, greaterThanEqual(0.1, 100.0))), ifThenElseFloat(trueBool, ifThenElseFloat(trueBool, 0.01, 0.01), 100.0)))",NULL,...,0.0475355,0.431961,170,0,22,267cdf0b2c250bfd4ffef8a7016b9aeac110b14e0817114ef939589c4bd81506
397d207fe43df35c574b076b5c7738f1867b4df9660793871e593f49b32d3569,71.3996,1,EVALUATED,14,"2021-03-22 09:34:06","BaggedLearner(myArcCosineMath(ARG0, passTriState(passTriState(0))), ModifyLearnerFloat(ModifyLearnerBool(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), ifThenElseBool(falseBool, trueBool, falseBool)), 100.0))",NULL,...,0.914742,0.0803329,171,0,22,397d207fe43df35c574b076b5c7738f1867b4df9660793871e593f49b32d3569
3ab2e8991d58c85594d226d7692db00e3837698fea67ddace3a946739caaa11b,68.6517,1,EVALUATED,21,"2021-03-22 16:06:49","AdaBoostLearner(ARG0, ModifyLearnerList(learnerType('LogR', {'penalty': 0, 'C': 1.0}), [1, -1]), passInt(passTriState(passTriState(2))), myFloatDiv(100.0, myFloatMult(0.1, 100.0)))",NULL,...,1,0,172,0,22,3ab2e8991d58c85594d226d7692db00e3837698fea67ddace3a946739caaa11b
41df9c9a917787c647af9e124877133e9d5ddc364457da9df8bacf11745a79cb,64.0696,1,EVALUATED,14,"2021-03-22 09:46:00","AdaBoostLearner(ARG0, ModifyLearnerList(learnerType('LogR', {'penalty': 0, 'C': 1.0}), [14, 8]), 64, myFloatDiv(100.0, myFloatMult(0.1, 100.0)))",NULL,...,0.8,0.2,173,0,22,41df9c9a917787c647af9e124877133e9d5ddc364457da9df8bacf11745a79cb
548567ef112af2742627c5a9c9606437a897d3c883b2845998840f4a98d6b608,71.5202,1,EVALUATED,22,"2021-03-22 16:26:21","BaggedLearner(ARG0, ModifyLearnerInt(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 64, 3))",NULL,...,0.0949119,0.297922,174,0,22,548567ef112af2742627c5a9c9606437a897d3c883b2845998840f4a98d6b608
5f6b24f7691a00751e8964b6d74aa40677c545fb129fccc37d8655a5c62ec10b,94.9096,1,EVALUATED,17,"2021-03-22 14:03:04","AdaBoostLearner(ARG0, ModifyLearnerList(learnerType('Trees', {'criterion': 0, 'splitter': 0}), [0, 10]), passInt(passTriState(passTriState(1))), myFloatDiv(100.0, myFloatMult(0.1, 100.0)))",NULL,...,0.144323,0.261231,175,0,22,5f6b24f7691a00751e8964b6d74aa40677c545fb129fccc37d8655a5c62ec10b
5f89a7a7592b09d8d258bbb732631502dca662af509f3df78151fb2c4c7cece6,59.5414,1,EVALUATED,9,"2021-03-22 08:41:28","BaggedLearner(myExpMath(ARG0, passTriState(passTriState(1))), ModifyLearnerFloat(ModifyLearnerBool(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), trueBool), 100.0))",NULL,...,0.955294,0.0258609,176,0,22,5f89a7a7592b09d8d258bbb732631502dca662af509f3df78151fb2c4c7cece6
64cdc96710e9b2e11c0a6c6deff88468335d762a5613780cb77d3ffec916b44e,80.0055,1,EVALUATED,16,"2021-03-22 09:56:13","BaggedLearner(ARG0, ModifyLearnerInt(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 64, 0))",NULL,...,0.0874452,0.309456,177,0,22,64cdc96710e9b2e11c0a6c6deff88468335d762a5613780cb77d3ffec916b44e
6602a983ccd1b09931ac64e6618ea51043760ef01d6cc5694071728dc279f14f,67.25,1,EVALUATED,19,"2021-03-22 12:02:31","BaggedLearner(ARG0, ModifyLearnerInt(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 4, passInt(falseBool)))",NULL,...,0.0939962,0.298122,178,0,22,6602a983ccd1b09931ac64e6618ea51043760ef01d6cc5694071728dc279f14f
6b178b3b6323bd6ecbd82bc659032d2895c8ec34c3c5dab872421a38bf71a5e3,252.401,1,EVALUATED,20,"2021-03-22 14:03:04","GridSearchLearner(ARG0, ModifyLearnerBool(ModifyLearnerInt(learnerType('RandForest', {'n_estimators': 100, 'class_weight': 0, 'criterion': 0}), 150, passTriState(1)), greaterThan(10.0, 4.277402487995257)))",NULL,...,0.146088,0.257302,179,0,22,6b178b3b6323bd6ecbd82bc659032d2895c8ec34c3c5dab872421a38bf71a5e3
8299a44c85a4d1d24bc2bb6200b29ca233c5fc322d1266edd092b48ccb31c59a,66.8937,1,EVALUATED,21,"2021-03-22 15:13:03","BaggedLearner(ARG0, ModifyLearnerInt(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 64, 40))",NULL,...,0.0859638,0.314123,180,0,22,8299a44c85a4d1d24bc2bb6200b29ca233c5fc322d1266edd092b48ccb31c59a
88e86a120f8ff335fe83381563a90ac740d4c7e0e320e17df1699a0e3cc0d395,100.655,1,EVALUATED,19,"2021-03-22 13:49:33","BaggedLearner(myExpMath(ARG0, passTriState(passTriState(0))), ModifyLearnerFloat(ModifyLearnerBool(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), trueBool), 100.0))",NULL,...,0.896371,0.122306,181,0,22,88e86a120f8ff335fe83381563a90ac740d4c7e0e320e17df1699a0e3cc0d395
89dba1fc97d9b8de71e6a3780242579fab4e7057c52594a86b72ef8bc250c1de,73.3766,1,EVALUATED,17,"2021-03-22 10:30:48","BaggedLearner(ARG0, ModifyLearnerInt(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), 150, passTriState(1)))",NULL,...,0.0964657,0.277406,182,0,22,89dba1fc97d9b8de71e6a3780242579fab4e7057c52594a86b72ef8bc250c1de
8b1e01c8710a4c5af8a1928a3dc084c86990df4ea83596d378ed43ffac2550e0,62.7739,1,EVALUATED,18,"2021-03-22 11:55:39","AdaBoostLearner(ARG0, ModifyLearnerList(learnerType('Trees', {'criterion': 0, 'splitter': 0}), [1, -1]), passInt(passTriState(passTriState(2))), 0.01)",NULL,...,0.118744,0.271031,183,0,22,8b1e01c8710a4c5af8a1928a3dc084c86990df4ea83596d378ed43ffac2550e0
90adaf8a2ac313e42a04801923e0213daf03c4968113821dc9180383cf214ed7,61.2076,1,EVALUATED,12,"2021-03-22 09:03:47","AdaBoostLearner(ARG0, ModifyLearnerFloat(learnerType('SVM', {'C': 1.0, 'kernel': 0}), 1.0), 3, 1.0)",NULL,...,0,1,184,0,22,90adaf8a2ac313e42a04801923e0213daf03c4968113821dc9180383cf214ed7
95f6b6fb07f8a02eb67c9d929afa1c20bf4a1da82da99868ed04f7e03c04d925,95.8061,1,EVALUATED,18,"2021-03-22 13:03:38","AdaBoostLearner(ARG0, ModifyLearnerList(learnerType('LogR', {'penalty': 0, 'C': 1.0}), [14, 8]), 64, myFloatDiv(1.0, myFloatMult(0.1, 100.0)))",NULL,...,0.0281996,0.584654,185,0,22,95f6b6fb07f8a02eb67c9d929afa1c20bf4a1da82da99868ed04f7e03c04d925
b364c1d3d2cab1f767f02a53b2431a570fed30220c2f74323f7f35dc1bfb8921,181.571,1,EVALUATED,17,"2021-03-22 10:22:48","GridSearchLearner(ARG0, ModifyLearnerBool(learnerType('RandForest', {'n_estimators': 100, 'class_weight': 0, 'criterion': 0}), greaterThan(0.1, 10.0)))",NULL,...,0.143758,0.262396,186,0,22,b364c1d3d2cab1f767f02a53b2431a570fed30220c2f74323f7f35dc1bfb8921
bba09533483c101b4e671f1b55a24830998a0094c832b7dd79860bbe6152579f,65.3375,1,EVALUATED,21,"2021-03-22 15:30:25","BaggedLearner(ARG0, ModifyLearnerBool(learnerType('Boosting', {'learning_rate': 0.1, 'n_estimators': 100, 'max_depth': 3}), trueBool))",NULL,...,0.0906451,0.300234,187,0,22,bba09533483c101b4e671f1b55a24830998a0094c832b7dd79860bbe6152579f
efe8b58fd3d0b1ecfab4681daf66a2d991643ce349f5f85a18755e92820d0484,60.6185,1,EVALUATED,5,"2021-03-22 08:37:15","AdaBoostLearner(ARG0, ModifyLearnerList(learnerType('Trees', {'criterion': 0, 'splitter': 0}), [1, -1]), passInt(passTriState(passTriState(1))), myFloatDiv(100.0, myFloatMult(0.1, 100.0)))",NULL,...,0.1353,0.26413,188,0,22,efe8b58fd3d0b1ecfab4681daf66a2d991643ce349f5f85a18755e92820d0484
